of_change_centre_time,of_change_total_movement,geno,exercise,gs_pre,gs_post,fp_pre,fp_post,id
5.506299,-277.3,WT,0,1.331033,1.510053,4.041666667,8.888888889,1
-12.54583,-222.07,WT,0,1.705277,1.329517,4,3.666666667,2
-16.13226,-1622.46,WT,0,1.762012,1.794508,3.555555556,4.944444444,3
-7.732818,-675.92,WT,0,1.445348,1.502732,3.833333333,3.833333333,4
-1.819879,-1000.15,WT,0,1.702454,1.909938,5.611111111,3.75,5
-7.272849,-990.04,WT,0,1.802861,1.759546,2.277777778,2.333333333,6
-0.9999334,-750.45,WT,0,,,,,7
10.03266,-758.67,WT,1,1.972465,1.689498,5.277777778,4,8
11.3124,756.53,WT,1,1.582341,1.610942,5,4.166666667,9
0.6732885,1151.19,WT,1,1.495859,1.677249,2.611111111,5.388888889,10
-6.972868,48.7,WT,1,1.593992,1.661647,3.222222222,5.611111111,11
9.606027,-111.72,WT,1,1.721709,1.729391,1.111111111,6.666666667,12
5.392974,-443.97,WT,1,1.786787,1.439211,1.888888889,2.833333333,13
-4.546363,80.64,WT,1,1.25,1.516347,4,4.75,14
13.35244,-399.07,WT,1,1.265207,1.632566,4.944444444,3.222222222,15
2.113193,-176.67,WT,1,1.359649,1.726014,10.16666667,11.22222222,16
-0.8732751,-479.346,WT,1,,,2.388888889,6.5,17
-4.273048,-1311.68,WT,1,,,2.111111111,5.083333333,18
2.304493,486.62,NFL,0,2.300319,2.332233,7.555555556,6.944444444,19
4.525734,-250.22,NFL,0,2.382629,1.988701,6,2.388888889,20
-1.879875,-751.46,NFL,0,2.253846,2.027168,7.944444444,3.611111111,21
-7.572828,-285.49,NFL,0,2.374867,1.918542,4.333333333,5.4,22
-14.959,-1107.466,NFL,0,2.04893,2.182018,5.3,6.055555556,23
-11.73122,-1340.5,NFL,0,2.077778,1.805075,3.277777778,6.055555556,24
-5.33651,-908.392,NFL,0,1.309689,1.449799,4.388888889,2.333333333,25
3.915926,-382.56,NFL,0,2.132546,2.09713,3.944444444,3.944444444,26
-1.726552,-885.93,NFL,0,1.990899,2.011696,6.777777778,7.833333333,27
-7.032865,-1126.245,NFL,0,1.696476,1.60105,3.222222222,5.25,28
6.046264,-467.19,NFL,0,,,5.111111111,4,29
13.01913,-646.67,NFL,0,,,2.222222222,4.833333333,30
0.6399573,394.4,NFL,1,3.168044,3.069829,4.944444444,7.444444444,31
-1.818283,-424.32,NFL,1,2.24261,2.229167,3.166666667,5.888888889,32
-8.759416,924.67,NFL,1,2.299899,2.42236,2.833333333,2.555555556,33
8.446104,502.54,NFL,1,2.088608,2.847458,3.277777778,4,34
-0.1266582,-572.22,NFL,1,1.64396,1.683357,7.166666667,7.277777778,35
-13.96969,-1479.87,NFL,1,2.054264,1.807432,5.722222222,4.055555556,36
0.4066395,489.76,NFL,1,1.579444,1.764146,10.66666667,4.916666667,37
8.126125,372.3,NFL,1,1.730946,1.951819,6.388888889,5.888888889,38
7.866142,194.89,NFL,1,1.377649,1.631737,4.055555556,2.111111111,39
-0.1266582,-251.7,NFL,1,1.551883,1.833333,4.555555556,5.111111111,40
-12.0192,-891.4,NFL,1,,,2.166666667,3.888888889,41
1.192046,-674.63,NFL,1,,,3.444444444,7.166666667,42
